Wikipedia movie ID,Predicted Label
4560,"[3, 4, 0, 3, 3, 0, 5, 5, 5, 3, 3, 3, 0, 7, 0, 1, 3, 0, 0, 0, 0, 3, 5, 8, 1, 0, 0, 0, 7, 2, 3, 0, 3, 3, 0, 5, 2, 3, 0, 3, 3, 4, 7, 1, 3, 3, 3, 4, 0, 1, 7, 1, 0, 4, 0, 7, 2, 0, 7, 7, 3, 0, 0, 0, 8, 2, 0, 0, 0, 3, 8]"
4726,"[3, 2, 4, 7, 3, 7, 3, 0, 5, 7, 3, 4, 4, 4, 3, 3, 3, 10, 8, 7, 4, 7, 4, 3, 3, 4, 4, 3, 8, 5, 5, 3, 4, 8, 7, 3, 3, 3, 3, 3, 3, 7]"
4728,"[3, 3, 3, 7, 3, 3, 3, 4, 3, 0, 0, 6, 1, 10, 3, 0, 5, 3, 3, 6, 4, 3, 3, 0, 3, 4, 3, 3, 7, 3, 3, 0, 3, 3, 3, 3, 3, 0, 0, 4, 3, 3, 3, 3, 3, 0, 3, 4, 4, 7, 3, 1, 0, 0, 1, 0, 0]"
4729,"[3, 3, 3, 3, 4, 3, 3, 0, 3, 3, 4, 0, 3, 3, 4, 5, 4, 7, 0, 4, 3, 3, 8, 3, 8, 7, 3, 3, 3, 3, 8, 8, 0, 3, 4, 4, 4, 7, 0, 0, 10, 3, 3, 4, 0, 10, 3, 3, 3, 8]"
4730,"[3, 3, 0, 0, 3, 3, 1, 8, 4, 7, 3, 7, 7, 4, 8, 7, 0, 3, 0, 3, 4, 3, 3, 0, 3, 3, 0, 0, 0, 1, 4, 3, 3, 4, 8, 4, 2, 2, 3, 3, 3, 0, 0, 8, 0, 4]"
5313,"[0, 3, 0, 0, 3, 3, 1, 0, 0, 0, 8, 0, 5, 3, 0, 3, 0, 0, 0, 0, 0, 3, 0, 4, 3, 1, 0, 3, 3, 0, 3, 5, 10, 4, 5, 3, 3, 3, 1, 3, 3, 7, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 0, 2, 10, 3, 3, 5, 8, 3, 0, 0, 5, 3]"
9979,"[0, 0, 8, 0, 0, 0, 3, 3, 3, 3, 0, 0, 0, 3, 3, 5, 5, 0, 0, 3, 1, 0, 4, 5, 10, 0, 0, 0, 0, 0, 3, 3, 0, 3, 3, 3, 3, 0, 3, 0, 3, 3, 1, 0, 3, 3, 3, 3, 5, 8, 0, 3, 3, 1, 0, 3, 3, 3, 0, 0, 0, 0, 0, 3, 0, 4, 3, 1, 0, 0, 3, 4, 3, 3, 3, 0, 3, 3, 3, 3, 0, 1, 3, 8, 10, 0, 3, 3, 0, 0, 3, 5, 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 1, 3, 0, 7, 0, 7, 4, 0, 3, 0, 3, 3, 0, 3, 3, 0, 0, 0, 3, 0, 3]"
11223,"[3, 0, 0, 3, 8, 5, 3, 5, 3, 0, 0, 8, 0, 4, 0, 0, 0, 10, 8, 0, 4, 3, 4, 3, 0, 0, 3, 3, 3, 3, 0, 0, 4, 0, 3, 1, 3, 8, 3, 0, 0, 3, 0, 4, 3, 3, 5, 4, 3, 3, 1, 1, 1, 10, 0, 0, 0, 3, 8, 4, 0, 0, 4, 4, 3, 0, 3, 0, 3, 0, 1, 0, 10, 0, 5, 0, 3, 0, 5, 5, 0, 3]"
11242,"[7, 7, 3, 3, 0, 2, 3, 0, 5, 0, 4, 3, 3, 3, 4, 3, 4, 10, 3, 0, 3, 0, 3, 3, 3, 4, 0, 4, 2, 4, 4, 4, 0, 3, 3, 10, 10]"
25491,"[4, 3, 0, 0, 4, 0, 0, 4, 8, 0, 0, 4, 1, 0, 4, 3, 0, 4, 0, 1, 0, 3, 7, 3, 4, 8, 3, 0, 4, 0, 0, 3, 0, 0, 3, 4, 8, 0, 4, 0, 4, 7, 10, 1, 2, 0, 0]"
27079,"[0, 5, 3, 3, 0, 8, 3, 3, 3, 3, 3, 0, 0, 4, 4, 4, 3, 3, 10, 0, 0, 0, 5, 3, 3, 4, 0, 0, 4, 8, 3, 0, 8, 3, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10, 3]"
27097,"[4, 3, 3, 3, 1, 7, 8, 10, 3, 8, 3, 3, 0, 3, 7, 7, 7, 3, 3, 0, 2, 3, 3, 10]"
28269,"[0, 10, 2, 3, 3, 0, 10, 3, 3, 3, 4, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 10, 3, 3, 3, 3, 0, 3, 0, 0, 0, 3, 0, 3, 1, 3, 0, 3, 3, 3, 1, 10, 3, 1, 3, 3, 3, 0, 0, 4, 0, 3, 5, 3, 3, 3, 4, 1, 3, 3, 3, 3, 0, 3, 3, 0, 1, 3, 3, 3, 0, 1, 3, 4, 5, 3, 10, 0]"
28327,"[0, 4, 0, 0, 0, 0, 4, 3, 4, 0, 0, 4, 5, 0, 4, 3, 0, 4, 4, 4, 0, 3, 0, 0, 5, 0, 4, 0, 4, 8, 4, 5, 7, 0, 3, 7, 4, 0, 0, 4, 3, 0, 3, 0, 0, 4, 0, 3, 4, 3, 2, 7, 0, 3, 7, 0, 7, 0, 0, 0, 0, 1, 0, 0, 0, 3, 7, 4, 3, 7, 3, 0, 3, 3, 0, 8, 4, 3, 3, 0, 0, 4, 3, 4, 0, 8, 3, 4, 4, 1]"
29785,"[3, 1, 3, 3, 3, 3, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 1, 7, 0, 3, 1, 0, 4, 0, 3, 3, 10, 3, 3, 3, 10, 3, 10, 3, 0, 3, 3, 1, 0, 10, 10, 1, 3, 3, 3, 10, 3, 4, 3, 3, 0, 3, 0, 3, 3, 3, 1, 0, 8, 0, 3, 0, 0, 10, 0, 3, 3, 3, 3, 3, 10, 7, 3, 3, 3, 3, 10, 10, 8, 3, 4, 3, 3, 0, 0, 0, 3, 4, 3, 3]"
30006,"[3, 0, 0, 3, 3, 0, 6, 0, 3, 0, 3, 3, 7, 0, 4, 0, 0, 3, 4, 8, 0, 3, 3, 0, 4, 7, 3, 3, 4, 3, 3, 3, 3, 4, 0, 0, 0, 4, 3, 0, 4, 4, 0, 4, 3, 10, 6, 3, 0, 4, 0, 3, 3, 3, 0]"
30007,"[7, 2, 0, 7, 0, 4, 4, 0, 3, 0, 1, 4, 0, 7, 0, 7, 2, 3, 0, 0, 0, 0, 0, 3, 0, 0, 3, 3, 8, 0, 3, 1, 0, 0, 7, 3, 7, 7, 4, 10, 10, 0, 3, 10, 3, 3, 0, 3, 0, 5, 5, 4, 7, 3, 0, 3, 1]"
30582,"[0, 0, 10, 0, 4, 4, 3, 0, 3, 3, 3, 0, 0, 0, 3, 3, 1, 3, 10, 3, 8, 0, 3, 3, 7, 3, 0, 4, 0, 3, 0, 0, 3, 0, 0, 3, 0, 4, 0, 3, 3, 3, 0, 3, 0, 0, 10, 0, 4, 4, 3, 3, 10, 0, 1, 5, 5, 10]"
31079,"[10, 4, 3, 0, 5, 0, 0, 3, 3, 3, 10, 3, 8, 0, 3, 4, 0, 4, 1, 3, 3, 3, 0, 3, 4, 4, 0, 3, 8, 1, 8, 3, 4, 5, 5, 3, 0, 10, 0, 8, 10, 3, 4, 4, 3, 10, 3, 1, 0, 3, 0, 8, 5, 5, 1, 3, 3, 1, 3, 3, 3, 1, 3, 4, 3, 10, 0, 8, 5]"
32252,"[0, 3, 0, 3, 0, 3, 3, 3, 0, 3, 0, 0, 7, 7, 3, 3, 10, 3, 0, 4, 3, 3, 0, 0, 10, 0, 3, 0, 3, 3, 0, 3, 3, 10, 3, 3, 1, 7, 3, 7, 3, 3, 3, 3, 7, 10, 3, 4, 10, 3, 3, 0, 0, 0, 3]"
32260,"[3, 3, 3, 8, 3, 0, 3, 3, 3, 3, 3, 10, 1, 3, 8, 10, 3, 0, 3, 10, 0, 7, 3, 0, 0, 0, 3, 3, 0, 0, 0, 0, 1, 3, 7, 1, 0, 3, 8, 0, 4, 3, 3, 3, 3, 7, 1, 4, 3, 4, 3, 3, 0, 3, 3, 3, 3, 1, 3, 3, 0, 0, 10, 10, 1, 0, 3, 0, 0, 0, 3, 3, 3, 7, 3, 3, 3, 0, 3, 3, 3, 3, 3, 10, 3, 7, 3, 3, 2, 3, 3, 3, 0, 3, 10, 3, 0, 3, 3, 0, 3, 3, 0, 3, 3, 3, 0, 7, 3, 0, 5, 3, 3, 1, 1, 7, 4]"
39311,"[0, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 7, 3, 1, 0, 3, 3, 3, 3, 3, 0, 7, 0, 3, 0, 5, 0, 3, 3, 3, 3, 3, 3, 0, 3, 0, 0, 3, 0, 0, 3, 3, 7, 7, 0, 3, 3, 0, 0, 10, 2, 1, 0, 1, 4, 0, 0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 3, 1, 10, 0, 0, 10, 0, 1, 3, 0, 0, 0, 3, 3, 3, 7, 7, 3, 3, 3, 0, 3, 3, 1, 7, 1, 3, 10, 4, 3, 3, 3, 1, 0, 0, 0, 1, 3, 3, 10, 3, 3, 10, 0, 3, 0, 0, 0]"
41528,"[1, 0, 3, 3, 0, 3, 0, 5, 5, 4, 8, 0, 8, 4, 3, 0, 10, 0, 3, 10, 3, 3, 3, 7, 1, 0, 8, 3, 0, 0, 0, 3, 4, 0, 8, 7, 0, 0, 10, 8, 3, 3, 8, 3, 10, 3, 1, 0, 0, 5, 1, 0, 0, 8, 3, 3, 0, 10, 4, 3, 5, 3, 3, 0, 10, 0, 3]"
42993,"[3, 0, 3, 0, 0, 5, 3, 4, 0, 0, 3, 0, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 3, 10, 3, 3, 4, 3, 3, 3, 3, 3, 3, 5, 3, 4, 7, 7, 4, 7, 5, 0, 5, 3, 3, 3, 3, 3, 3, 3, 3, 1, 4, 8, 0, 3, 10, 8, 10, 3, 4, 0, 8]"
43566,"[3, 0, 0, 3, 7, 7, 3, 3, 3, 2, 3, 0, 3, 1, 3, 4, 0, 4, 3, 3, 0, 10, 3, 3, 3, 4, 7, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 10, 3, 0, 0, 3, 3, 0, 1, 7, 0, 3, 3, 3, 10, 3, 0, 3, 2, 0, 3, 4, 1]"
44122,"[0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 3, 0, 3, 3, 7, 0, 8, 0, 5, 6]"
44501,"[0, 0, 0, 0, 0, 3, 3, 4, 3, 10, 3, 3, 8, 4, 3, 0, 3, 3, 0, 0, 3, 3, 7, 0, 0, 0, 0, 0, 0, 3, 10, 0, 0, 10, 10, 3, 3, 1, 3, 4, 3, 0, 3, 3, 1, 0, 0, 3, 0, 0, 4, 0, 1]"
45772,"[0, 0, 0, 4, 3, 8, 5, 0, 8, 10, 8, 0, 0, 3, 0, 0, 4, 0, 0, 1, 4, 3, 3, 8, 3, 3, 4, 3, 3, 3, 3, 8, 3, 0, 1, 3, 1, 0, 6, 8, 0, 3, 8, 5, 3]"
