Wikipedia movie ID,Merged Content,Predicted Label
6167400,The film is similar in some ways to Seth Michael Donsky's 1996 film Twisted made prior to Tierney's film,3
6167400,the plot of Oliver Twist is updated to the present day,3
6167400,and moved out of the London poor house onto the streets of Toronto,3
6167400,the tale is told not from Oliver's point of view,3
6167400,but rather that of Dodge,3
6167400,The prosaically beautiful Oliver  falls into the hands of down-and-out young men,3
6167400,Dodge takes Oliver under his wing and instructs him in the unforgiving arts of drug abuse and prostitution,3
6167400,Oliver develops a crush on Dodge and views him as his boyfriend,3
6167400,Dodge does not reciprocate his feelings,0
6167400,and reacts angrily to Oliver's kisses and other signs of affection,2
6167400,both young men confront their demons and ultimately it is Dodge who finds he cannot escape his past,3
6167400,Dodge is found by his abusive brother around the same time the young mens care taker commits suicide,3
6167400,sending Dodge into a violent rage at the films conclusion,3
4154028,The Facts in the Case of M,3
4154028,rides in a taxi to the downtown Pittsburgh office of Steven Pike,4
4154028,her elderly husband’s lawyer with some paperwork for Mr,3
4154028,Pike sees that Jessica’s the 63-year-old husband named Ernest Valdemar,3
4154028,who is dying from an unnamed terminal illness,0
4154028,is liquidating a number of his assets for cash and suspects Jessica of having undue influence on him,4
4154028,Jessica denies the allegations that she’s any negative influence over her husband,3
4154028,while Pike makes a phone call to the house to talk with Ernest Valdemar,3
4154028,who speaks over the phone in a weak but coherent voice explaining about his decision to let Jessica take control of his money and assets from his personal signature on the written documents that she has,3
4154028,Pike reluctantly agrees to let Jessica have access to the money,3
4154028,but warns her that if anything were to happen to Mr,3
4154028,Valdemar within the next three weeks before the transfer of his estate over to Jessica is finalized,3
4154028,she will be investigated by the authorities,4
4154028,Jessica returns home to Ernest Valdemar’s large suburban mansion where she meets with Dr,3
4154028,Robert Hoffman where its revealed that he and Jessica have been conspiring to cheat the terminally ill Mr,3
4154028,Valdemar out of his estate by hypnotizing him and having him do what they wish from his deathbed,3
4154028,Jessica doesn’t like the procedure,3
4154028,but Robert wants it done because he used to have a romance with Jessica and wants to run off with her after they acquire his $3 million assets,2
4154028,Jessica goes to a bank where she withdraws $300,3
4154028,000 and stores it in a safe,3
4154028,Valdemar goes into cardiac arrest and dies while under another hypnosis spell,4
4154028,Not wanting to reveal his death just yet,0
4154028,Robert and Jessica carry his body to the basement where they hide it in a freezer,4
4154028,Jessica becomes frightened when she hears moaning coming from the basement,4
4154028,but when she tries to wake up Robert,4
4154028,he has put himself under a hypnotic-induced slumber to help him sleep,4
4154028,Jessica and Robert wake up and also hear the same noises coming from the basement,4
4154028,they hear Ernest Valdemar’s voice coming from the still body claiming that his soul is alive and trapped in a dark void between the living and the dead while under hypnosis,4
4154028,"Valdemar tells them that he sees ""others"" in the dark void looking at him",4
4154028,While Jessica goes out to make sense of this situation,4
4154028,she returns to find Robert talking to Mr,3
4154028,"Valdemar’s undead corpse who tells him that the ""others"" are vengeful spirits trapped in a realm and want to use him to enter our world",3
4154028,Valdemar tells Robert to wake him up and free him from his hypnotic state,4
4154028,Jessica shoots Valdemar’s corpse and wants to bury the body and skip town with the money they have,3
4154028,While Robert heads outside to dig a hole to bury the body,4
4154028,"Jessica goes back into the cellar only to find Valdemar’s body rising up out of the freezer and walking towards her saying that he is under control of ""the others"" to use him",3
4154028,but he keeps on coming,3
4154028,Robert enters the house when he hears the gunshots and sees Jessica and Valdemar struggling on the balcony where the undead walking cadaver shoots Jessica in the head and she falls off the balcony,4
4154028,Robert finally tells Valdemar that he’s going to wake him and free him from his hypnosis,4
4154028,But after doing so by counting to five,3
4154028,Valdemar tells Robert that it's too late to wake him for without his body as a conduit,3
4154028,the Others cannot return to their realm,3
4154028,Robert then steals all the cash that Jessica had stored in the safe and flees the house,3
4154028,Robert goes back to his apartment in downtown Pittsburgh,3
4154028,where he puts himself under a hypnotic sleep,4
4154028,"the ghostly ""Others"" enter his apartment and kill him by shoving the hypnotic digital counter into his chest",4
4154028,The ghosts then form themselves into one large mass-like mist and enter Robert's dead body,4
4154028,"the police led by Detective Grogan arrive at Robert’s apartment to answer complaints about a ""strange smell"" and constant moaning coming from the apartment",4
4154028,Grogan finds the apartment ransacked and the stolen cash scattered everywhere,4
4154028,the horribly decomposed body of Robert,0
